first_name,id,total_publications,research_orgs,last_name,orcid_id,full_name,url
Joachim,ur.014236414533.21,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Ryll,,Joachim Ryll,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.014236414533.21
Moritz,ur.011005440205.67,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Alkhayat,,Moritz Alkhayat,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011005440205.67
Jan,ur.012377250745.30,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Schulte,,Jan Schulte,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012377250745.30
Andrei,ur.011010144762.16,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Diatlov,,Andrei Diatlov,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011010144762.16
R,ur.013264440200.35,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Kramer,,R Kramer,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013264440200.35
K,ur.014605466275.21,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Pochner,,K Pochner,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.014605466275.21
Laszlo,ur.013203631671.28,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Peter,,Laszlo Peter,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013203631671.28
Alexander,ur.012312500471.52,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Von Wezyk,,Alexander Von Wezyk,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012312500471.52
Michael,ur.0712241047.69,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}, {'id': 'grid.7892.4', 'acronym': 'KIT', 'name': 'Karlsruhe Institute of Technology', 'country_name': 'Germany'}]",Heise,,Michael Heise,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0712241047.69
Florian,ur.015027364475.10,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Eibl,,Florian Eibl,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015027364475.10
