,total_grants,id,last_grant_year
459,1,ur.015226066562.99,2023.0
460,2,ur.01064606177.62,2022.0
461,33,ur.015760641477.63,2023.0
462,4,ur.01215177774.25,2020.0
463,4,ur.0657071261.03,2022.0
464,4,ur.01220655635.19,2021.0
465,0,ur.0754202045.02,
466,0,ur.0646101614.57,
467,16,ur.015734107537.38,2023.0
468,4,ur.01215000714.10,2018.0
469,10,ur.0627545135.27,2020.0
470,0,ur.01053541723.88,
471,10,ur.011236207437.34,2021.0
472,8,ur.014007046777.39,2024.0
473,6,ur.010236770127.36,2014.0
474,3,ur.01041061221.12,2020.0
475,19,ur.0675511437.67,2024.0
476,14,ur.0631561714.29,2024.0
477,0,ur.0626001405.26,
478,21,ur.012151177437.05,2023.0
479,0,ur.01222435227.61,
480,0,ur.012353231675.17,
481,17,ur.014715326612.24,2020.0
482,9,ur.01204667562.29,2024.0
483,0,ur.0744701504.27,
484,0,ur.01004117202.37,
485,4,ur.0752405000.96,2006.0
486,1,ur.01354776404.02,2024.0
487,0,ur.01225441541.34,
488,3,ur.01200771067.24,2008.0
489,4,ur.015645550457.99,2015.0
490,2,ur.01172436353.40,2011.0
491,6,ur.01232662277.25,2025.0
492,2,ur.01125230241.05,2017.0
493,4,ur.01121646425.11,2014.0
494,6,ur.01074100021.48,2022.0
495,12,ur.0611024513.01,2020.0
496,0,ur.016016477163.34,
497,0,ur.014652207777.75,
498,0,ur.01275617260.80,
499,1,ur.0740162447.45,2021.0
500,0,ur.0706161564.18,
501,0,ur.01331623740.48,
502,0,ur.0765074230.63,
503,0,ur.014374337777.39,
504,0,ur.01150603676.37,
505,0,ur.01323354264.17,
506,0,ur.01060302520.08,
507,1,ur.01337503212.77,2014.0
508,0,ur.0607014114.87,
509,0,ur.01106754655.50,
510,1,ur.01266371434.24,2017.0
511,2,ur.01177403547.78,2018.0
512,0,ur.01270660655.11,
513,33,ur.01207753503.50,2023.0
514,0,ur.0767670161.16,
515,1,ur.0617400773.76,2012.0
516,1,ur.0673767473.46,2013.0
517,0,ur.016621360067.59,
518,0,ur.011774026205.44,
519,0,ur.01172204022.21,
520,3,ur.01205455323.64,2018.0
521,0,ur.0722030127.19,
522,8,ur.01266050312.40,2022.0
523,0,ur.0662466076.36,
524,10,ur.01013242524.10,2022.0
525,0,ur.0661444545.02,
526,17,ur.0661345611.20,2020.0
527,1,ur.01310272040.19,2019.0
528,0,ur.016042157133.69,
529,21,ur.01160545123.53,2020.0
530,0,ur.0746623111.51,
531,13,ur.01156677161.00,2023.0
