,id,last_grant_year,total_grants
637,ur.0700316214.32,,
638,ur.01014324530.83,2018.0,2.0
639,ur.01177747600.53,,
640,ur.014104052415.98,,
641,ur.01346361351.16,,
642,ur.0776022700.87,2023.0,9.0
643,ur.0634761502.26,2023.0,11.0
644,ur.01006673241.52,,
645,ur.016446772157.75,2022.0,22.0
646,ur.010130357332.96,2022.0,7.0
647,ur.01045274562.67,2023.0,32.0
648,ur.0672020421.27,2019.0,1.0
649,ur.01232035241.84,,
650,ur.01275220170.77,,
651,ur.01020043741.02,2018.0,8.0
652,ur.01016157627.69,2023.0,3.0
653,ur.0711430001.54,,
654,ur.016165060366.07,,
655,ur.013632405754.68,,
656,ur.015366710405.54,,
657,ur.0716646162.83,2023.0,11.0
658,ur.01215526415.55,2021.0,14.0
659,ur.01150647147.79,,
660,ur.01056010055.08,,
661,ur.01116521605.43,2018.0,2.0
662,ur.01334675114.72,,
663,ur.0674747100.57,2017.0,8.0
664,ur.0761005474.77,2022.0,15.0
665,ur.01074650154.25,,
666,ur.01143574237.24,2023.0,1.0
667,ur.01252313105.37,,
668,ur.01210060353.68,,
669,ur.01355755622.50,2019.0,3.0
670,ur.01224407762.64,2019.0,9.0
671,ur.0671073025.86,2023.0,21.0
672,ur.01351041437.40,2020.0,3.0
673,ur.01024612701.33,2023.0,9.0
674,ur.0664060255.24,2015.0,1.0
675,ur.01250423661.24,2021.0,5.0
676,ur.01251165601.38,,
677,ur.01020471101.38,2019.0,6.0
678,ur.01040002611.24,,1.0
679,ur.01032126143.12,2023.0,7.0
680,ur.01201362637.02,2021.0,4.0
681,ur.01230632011.15,,
682,ur.01062400635.79,,
683,ur.0575521461.12,,
684,ur.01067744476.10,,
685,ur.01355734517.21,,
686,ur.010127456152.27,,
687,ur.0703130243.00,2023.0,9.0
688,ur.01032327555.79,2015.0,1.0
689,ur.01150306557.04,2019.0,26.0
690,ur.01103200601.09,2022.0,19.0
691,ur.01354277023.89,,
692,ur.0750043301.69,2013.0,4.0
693,ur.0701353106.90,2020.0,52.0
694,ur.01010701573.25,2021.0,9.0
695,ur.010312422777.39,2012.0,1.0
696,ur.013217252727.69,,
697,ur.0624763146.01,2021.0,5.0
698,ur.01345112136.24,2020.0,3.0
699,ur.0600613727.54,2024.0,13.0
700,ur.0707333073.25,,
701,ur.01157360151.74,2022.0,27.0
702,ur.01155116665.01,,2.0
703,ur.0713540153.74,2019.0,6.0
704,ur.01143540012.53,,
