,affiliations,corresponding,current_organization_id,first_name,is_bogus,last_name,orcid,researcher_id,pub_id
990,"[{'id': 'grid.419684.6', 'name': 'Stockholm School of Economics', 'city': 'Stockholm', 'city_id': 2673730, 'country': 'Sweden', 'country_code': 'SE', 'state': None, 'state_code': None}]",,grid.419684.6,Magnus,,Johannesson,['0000-0001-8759-6393'],ur.01232442712.25,pub.1117493989
991,"[{'id': 'grid.1003.2', 'name': 'University of Queensland', 'city': 'Brisbane', 'city_id': 2174003, 'country': 'Australia', 'country_code': 'AU', 'state': 'Queensland', 'state_code': 'AU-QLD'}]",,grid.1003.2,Peter M.,,Visscher,['0000-0002-2143-8760'],ur.01033044533.08,pub.1117493989
992,"[{'id': 'grid.38142.3c', 'name': 'Harvard University', 'city': 'Cambridge', 'city_id': 4931972, 'country': 'United States', 'country_code': 'US', 'state': 'Massachusetts', 'state_code': 'US-MA'}, {'id': 'grid.250279.b', 'name': 'National Bureau of Economic Research', 'city': 'Cambridge', 'city_id': 4931972, 'country': 'United States', 'country_code': 'US', 'state': 'Massachusetts', 'state_code': 'US-MA'}]",,grid.38142.3c,David,,Laibson,,ur.01140036361.27,pub.1117493989
993,"[{'id': 'grid.250279.b', 'name': 'National Bureau of Economic Research', 'city': 'Cambridge', 'city_id': 4931972, 'country': 'United States', 'country_code': 'US', 'state': 'Massachusetts', 'state_code': 'US-MA'}, {'id': 'grid.137628.9', 'name': 'New York University', 'city': 'New York', 'city_id': 5128581, 'country': 'United States', 'country_code': 'US', 'state': 'New York', 'state_code': 'US-NY'}, {'id': 'grid.438463.e', 'name': 'Research Institute of Industrial Economics', 'city': 'Stockholm', 'city_id': 2673730, 'country': 'Sweden', 'country_code': 'SE', 'state': None, 'state_code': None}]",True,grid.137628.9,David,,Cesarini,['0000-0002-0043-009X'],ur.01250767057.00,pub.1117493989
994,"[{'id': 'grid.66859.34', 'name': 'Broad Institute', 'city': 'Cambridge', 'city_id': 4931972, 'country': 'United States', 'country_code': 'US', 'state': 'Massachusetts', 'state_code': 'US-MA'}, {'id': 'grid.32224.35', 'name': 'Massachusetts General Hospital', 'city': 'Boston', 'city_id': 4930956, 'country': 'United States', 'country_code': 'US', 'state': 'Massachusetts', 'state_code': 'US-MA'}]",True,grid.66859.34,Benjamin M.,,Neale,,ur.014377465057.81,pub.1117493989
995,"[{'id': 'grid.250279.b', 'name': 'National Bureau of Economic Research', 'city': 'Cambridge', 'city_id': 4931972, 'country': 'United States', 'country_code': 'US', 'state': 'Massachusetts', 'state_code': 'US-MA'}, {'id': 'grid.42505.36', 'name': 'University of Southern California', 'city': 'Los Angeles', 'city_id': 5368361, 'country': 'United States', 'country_code': 'US', 'state': 'California', 'state_code': 'US-CA'}]",True,grid.42505.36,Daniel J.,,Benjamin,,ur.01250423661.24,pub.1117493989
996,"[{'id': 'grid.249878.8', 'name': 'Gladstone Institutes', 'city': 'San Francisco', 'city_id': 5391959, 'country': 'United States', 'country_code': 'US', 'state': 'California', 'state_code': 'US-CA'}]",,grid.249878.8,Sean,,Whalen,,ur.010366460327.25,pub.1118144447
1023,"[{'id': 'grid.7490.a', 'name': 'Helmholtz Centre for Infection Research', 'city': 'Braunschweig', 'city_id': 2945024, 'country': 'Germany', 'country_code': 'DE', 'state': None, 'state_code': None}]",,grid.7490.a,Gusharan S.,,Chhatwal,,ur.010134143231.68,pub.1118096636
1038,"[{'id': 'grid.419538.2', 'name': 'Max Planck Institute for Molecular Genetics', 'city': 'Berlin', 'city_id': 2950159, 'country': 'Germany', 'country_code': 'DE', 'state': None, 'state_code': None}, {'id': 'grid.428448.6', 'name': 'Centro Andaluz de Biología del Desarrollo', 'city': 'Seville', 'city_id': 2510911, 'country': 'Spain', 'country_code': 'ES', 'state': None, 'state_code': None}]",,grid.428448.6,Martin,,Franke,['0000-0002-4626-3290'],ur.01041410710.11,pub.1119949216
1039,"[{'id': 'grid.419538.2', 'name': 'Max Planck Institute for Molecular Genetics', 'city': 'Berlin', 'city_id': 2950159, 'country': 'Germany', 'country_code': 'DE', 'state': None, 'state_code': None}, {'id': 'grid.6363.0', 'name': 'Charité', 'city': 'Berlin', 'city_id': 2950159, 'country': 'Germany', 'country_code': 'DE', 'state': None, 'state_code': None}]",,grid.419538.2,Salaheddine,,Ali,['0000-0002-0351-1645'],ur.014412536553.30,pub.1119949216
