,count,funding,id
167467,1,21884388.0,ur.01312775712.01
167468,1,21884388.0,ur.01313424660.24
167469,1,21884388.0,ur.013136240367.86
167470,1,21884388.0,ur.01314351140.14
167471,1,42063968.0,ur.01314516732.01
167472,1,21884388.0,ur.01316621643.29
167473,1,21884388.0,ur.013171707752.91
167474,1,14982716.0,ur.013200323357.35
167475,1,332917.0,ur.01320033232.55
167476,1,21884388.0,ur.013216112557.54
167477,1,21884388.0,ur.013224457652.10
167478,1,21884388.0,ur.01322762225.92
167479,1,21884388.0,ur.013230320752.03
167480,1,21884388.0,ur.013240023152.19
167481,1,21884388.0,ur.01324417074.80
167482,1,14982716.0,ur.013252673627.37
167483,1,21884388.0,ur.013253131777.46
167484,1,1627351.0,ur.01325337045.20
167485,1,114824.0,ur.013261416532.09
167486,1,42063968.0,ur.013266152744.28
167487,1,576755.0,ur.01327036113.15
167488,1,21884388.0,ur.013272573052.83
167489,1,21884388.0,ur.01330411607.87
167490,1,511852.0,ur.01330564552.16
167491,1,42063968.0,ur.01331023155.64
167492,1,21884388.0,ur.01331265156.62
167493,1,21884388.0,ur.01332465047.22
167494,1,21884388.0,ur.013325351152.78
167495,1,21884388.0,ur.01333332507.34
167496,1,21884388.0,ur.01333427612.08
167497,1,1461794.0,ur.01333644254.89
167498,1,0.0,ur.01334201653.30
167499,1,21884388.0,ur.013344547352.20
167500,1,2045533.0,ur.01337233770.10
167501,1,21884388.0,ur.01337354203.76
167502,1,2124811.0,ur.01340514137.45
167503,1,641602.0,ur.01341517067.30
167504,1,7748950.0,ur.01344167700.95
167505,1,21884388.0,ur.01344600427.03
