researcher_id,pubs,full_name,citations_mean,altmetric_mean,last_pub_year,url,total_grants,last_grant_year,total_funding
ur.01104357207.40,14,Markus Perola,101.0,195.7142857142857,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01104357207.40,6,2019,3430758.0
ur.0715746475.38,14,Uwe Völker,70.57142857142857,175.0,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0715746475.38,17,2024,0.0
ur.01051674732.59,14,Patricia B. Munroe,93.21428571428572,173.5,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01051674732.59,3,2020,10388404.0
ur.012230156744.42,14,David Porteous,176.5,310.2857142857143,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012230156744.42,11,2019,23692407.0
ur.0611555753.26,14,Niels Grarup,108.78571428571428,197.78571428571428,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0611555753.26,2,2021,986311.0
ur.01300106701.65,14,Patrick T. Ellinor,117.57142857142857,233.5,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01300106701.65,11,2022,26429056.0
ur.0610570026.87,14,Jouke-Jan Hottenga,161.0,336.7857142857143,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0610570026.87,1,0,0.0
ur.014424006237.85,13,Tim D Spector,153.0,451.6153846153846,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.014424006237.85,11,2021,13969188.0
ur.01266747622.46,13,Jenny Chang-Claude,103.92307692307692,243.46153846153842,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01266747622.46,4,2017,0.0
ur.0612256763.55,13,Jennifer E. Huffman,97.69230769230771,154.0,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0612256763.55,0,0,
ur.0700374216.54,13,Gardar Sveinbjornsson,52.769230769230774,74.07692307692308,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0700374216.54,0,0,
ur.01155553465.69,13,Helen R. Warren,101.0,187.0769230769231,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01155553465.69,0,0,
ur.015725517277.33,13,Thomas Meitinger,142.15384615384616,306.92307692307685,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015725517277.33,5,2019,0.0
ur.011106724015.15,13,Ilaria Gandin,67.30769230769229,257.84615384615387,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011106724015.15,0,0,
ur.0742714555.32,13,Pim van der Harst,115.69230769230771,163.38461538461542,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0742714555.32,0,0,
ur.01302157177.43,13,Niek Verweij,98.07692307692308,122.30769230769229,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01302157177.43,1,2017,218773.0
ur.01100532760.37,13,Inês Barroso,96.92307692307692,127.76923076923076,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01100532760.37,5,2020,23951963.0
ur.01270311401.64,13,Alexander Teumer,153.15384615384616,295.61538461538464,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01270311401.64,2,2018,0.0
ur.01016372227.74,13,Colin N. A. Palmer,122.69230769230771,158.38461538461542,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01016372227.74,7,2024,12479305.0
ur.0703577540.65,13,Kristian Hveem,118.07692307692308,169.46153846153842,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0703577540.65,6,2024,28174039.0
ur.015767231737.16,13,Jaakko Kaprio,116.46153846153848,410.3846153846154,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015767231737.16,20,2022,12385711.0
ur.014514614637.17,13,Melissa C. Southey,113.0,301.07692307692315,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.014514614637.17,27,2020,19439393.0
ur.01354003761.82,13,Blair H. Smith,118.53846153846152,250.0769230769231,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01354003761.82,5,2015,3386661.0
ur.01310503443.70,13,Gail Davies,187.6923076923077,365.8461538461538,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01310503443.70,0,0,
ur.01310516710.30,13,Shamil R. Sunyaev,60.0,66.23076923076923,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01310516710.30,11,2023,60744514.0
