researcher_id,pubs,full_name,citations_mean,altmetric_mean,last_pub_year,url
ur.016065701562.53,12,Matthias W Beckmann,164.41666666666666,174.66666666666666,2020,
ur.01371227760.44,12,Anke Tönjes,129.75,320.9166666666667,2021,
ur.013650767742.28,12,Neil R. Robertson,186.91666666666666,291.1666666666667,2021,
ur.01074100021.48,12,Samuli Ripatti,269.25,279.0833333333333,2021,
ur.01060302520.08,12,Audrey Y. Chu,120.58333333333333,220.0,2021,
ur.01026114310.09,12,Naveed Sattar,154.5,239.66666666666666,2021,
ur.014776121077.49,12,Wayne H.-H. Sheu,108.33333333333333,150.33333333333334,2021,
ur.01365006302.05,12,Aliki-Eleni Farmaki,74.75,219.25,2021,
ur.01001324722.89,12,Fotios Drenos,104.91666666666667,164.75,2021,
ur.011253462352.60,12,Michael J. Owen,471.5,308.0,2019,
ur.0763100407.41,12,Peter K. Joshi,251.16666666666666,492.0833333333333,2019,
ur.014366020547.03,12,Andrew D. Morris,224.33333333333334,157.0,2019,
ur.01036127203.64,12,Lorraine Southam,98.0,229.5,2021,
ur.0736420010.83,12,Steven A. McCarroll,270.0833333333333,145.58333333333334,2021,
ur.0610023545.07,12,Hanieh Yaghootkar,130.08333333333334,230.25,2021,
ur.012335771642.02,12,Peter A. Fasching,169.75,258.5,2020,
ur.01056631602.80,12,Serena Sanna,137.5,197.5,2021,
ur.01316313531.32,12,Gad Getz,237.5,104.75,2021,
ur.01365531352.22,12,L Adrienne Cupples,306.9166666666667,151.75,2020,
ur.010700526417.77,12,Hakon Hakonarson,290.0,435.5833333333333,2021,
ur.010551121657.46,12,Mary F Feitosa,205.08333333333334,127.25,2019,
ur.01003275415.57,12,Lars Lind,333.5,169.66666666666666,2018,
ur.01272021712.88,12,Gina M. Peloso,120.58333333333333,136.16666666666666,2020,
ur.0730545027.13,12,Anthony J. Swerdlow,157.25,242.66666666666666,2020,
ur.012151130377.17,12,E Shyong Tai,186.08333333333334,176.75,2019,
ur.0664633045.78,12,Jette Bork-Jensen,147.0,139.75,2021,
ur.0737763537.61,12,Stéphanie Debette,209.66666666666666,170.58333333333334,2020,
ur.01270537012.68,12,Rodney J. Scott,182.75,291.3333333333333,2021,
ur.0723132542.33,12,Chiea Chuen Khor,103.91666666666667,142.91666666666666,2021,
ur.0631601743.33,12,Jonathan Marten,185.41666666666666,164.66666666666666,2019,
ur.0674747100.57,12,Michael Stumvoll,129.75,320.9166666666667,2021,
ur.01154736424.87,12,Marit E. Jørgensen,158.41666666666666,216.25,2021,
ur.01034633157.32,12,Dale R. Nyholt,217.66666666666666,370.1666666666667,2020,
ur.0704313302.86,12,Dajiang J. Liu,151.75,145.75,2021,
ur.011644054634.17,12,Yii-Der Ida Chen,150.16666666666666,157.0,2019,
ur.01065203525.67,12,Nora Franceschini,246.58333333333334,161.41666666666666,2021,
ur.01066264161.25,12,Martin D. Tobin,191.41666666666666,147.25,2019,
ur.0743051442.75,12,Andrea Sottoriva,124.33333333333333,102.75,2021,
ur.01046705311.08,12,Heather M. Stringham,142.91666666666666,224.33333333333334,2021,
ur.016605250747.79,12,Jeffrey C. Barrett,306.0,110.83333333333333,2021,
ur.0602760061.18,12,Inigo Martincorena,74.5,161.83333333333334,2021,
ur.01334521133.00,12,Susan L. Neuhausen,150.08333333333334,270.5833333333333,2021,
ur.015641175307.72,12,Christopher P. Nelson,244.83333333333334,161.33333333333334,2021,
ur.0651363747.00,12,Thorunn Rafnar,108.25,110.75,2021,
ur.0644335107.68,11,Tarunveer S. Ahluwalia,151.0,348.3636363636364,2021,
ur.016033704317.28,11,Lambertus A. Kiemeney,89.18181818181819,118.27272727272727,2019,
ur.0112255365.50,11,Ivan Brandslund,157.36363636363637,151.0,2021,
ur.01151433047.82,11,Evelin Mihailov,477.6363636363636,427.72727272727275,2019,
ur.01305467031.32,11,Jing Hua Zhao,224.27272727272728,438.8181818181818,2019,
ur.0666011146.86,11,Julien Bryois,392.27272727272725,466.54545454545456,2021,
ur.0716373565.06,11,Themistocles L. Assimes,301.45454545454544,136.8181818181818,2021,
ur.01116161622.29,11,Rick Jansen,383.27272727272725,318.90909090909093,2021,
ur.01067302737.32,11,Asgeir Sigurdsson,121.63636363636364,102.36363636363636,2018,
ur.0722177771.46,11,Kjell Nikus,143.54545454545453,122.0,2019,
ur.0677736440.29,11,Aki S. Havulinna,165.27272727272728,157.1818181818182,2021,
ur.01210015511.37,11,Jan Lubinski,176.45454545454547,189.36363636363637,2020,
ur.01145131436.05,11,David M. Hougaard,502.0,436.54545454545456,2021,
ur.01116254763.53,11,Jonathan P. Tyrer,112.81818181818181,351.0,2020,
ur.01035265572.24,11,Susan M. Gapstur,128.0,264.27272727272725,2021,
ur.01134314703.76,11,John A. Todd,81.45454545454545,281.8181818181818,2021,
ur.01260477271.91,11,Heli Nevanlinna,180.0909090909091,272.72727272727275,2020,
ur.01262760646.95,11,Andre Franke,326.72727272727275,156.45454545454547,2021,
ur.014535462057.28,11,Alisa K. Manning,86.63636363636364,135.45454545454547,2021,
ur.01134367124.36,11,Martin Dichgans,282.27272727272725,313.45454545454544,2020,
ur.0660350640.19,11,Laura M. Yerges-Armstrong,116.9090909090909,193.0909090909091,2019,
