,year,issue,id,pages,type,volume,title,journal.id,journal.title
19170,2015,5,pub.1044307154,1013-1026,article,108,Effect of Phosphorylation on EGFR Dimer Stability Probed by Single-Molecule Dynamics and FRET/FLIM,jour.1017078,Biophysical Journal
19176,2015,Suppl 1 M4,pub.1069218024,58-76,article,11,Interventions on bullying and cyberbullying in schools: a systematic review.,jour.1035293,Clinical Practice and Epidemiology in Mental Health
19239,2015,2,pub.1025982861,277-296,article,6,A high speed multifocal multiphoton fluorescence lifetime imaging microscope for live-cell FRET imaging,jour.1044173,Biomedical Optics Express
19328,2015,3,pub.1008829436,413-418,article,112,Epigenetics in acute promyelocytic leukaemia pathogenesis and treatment response: A TRAnsition to targeted therapies,jour.1017082,British Journal of Cancer
19335,2015,7538,pub.1053003561,197-206,article,518,Genetic studies of body mass index yield new insights for obesity biology,jour.1018957,Nature
19345,2015,2,pub.1022546102,92-99,article,25,Understanding fibroblast heterogeneity in the skin,jour.1101912,Trends in Cell Biology
19414,2015,7540,pub.1005300090,547-551,article,518,Tissue-resident macrophages originate from yolk-sac-derived erythro-myeloid progenitors,jour.1018957,Nature
19983,2015,1,pub.1045580163,32-33,article,14,Site of effect of LY2951742 for migraine prophylaxis–Authors' reply,jour.1030586,The Lancet Neurology
20437,2015,11,pub.1048541665,4884-4900,article,44,Tripodal tris(hydroxypyridinone) ligands for immunoconjugate PET imaging with 89 Zr 4+ : comparison with desferrioxamine-B,jour.1027733,Dalton Transactions
20514,2015,5,pub.1025321567,532-543,article,42,Capsular Contracture after Breast Augmentation: An Update for Clinical Practice,jour.1046375,Archives of Plastic Surgery
20592,2015,,pub.1031223334,773-780,proceeding,,Voice or Gesture in the Operating Room,,
20630,2014,51,pub.1030489232,35503-35516,article,289,"Hes3 Is Expressed in the Adult Pancreatic Islet and Regulates Gene Expression, Cell Growth, and Insulin Release",jour.1077138,Journal of Biological Chemistry
20645,2014,24,pub.1020356867,7198-7204,article,74,AKT1 and MYC Induce Distinctive Metabolic Fingerprints in Human Prostate Cancer,jour.1319913,Cancer Research
20661,2014,49,pub.1011086077,17534-17539,article,111,Substrate recognition by the cell surface palmitoyl transferase DHHC5,jour.1082971,Proceedings of the National Academy of Sciences
20788,2014,12,pub.1034401543,1036-1040,article,1,Pituitary adenylate cyclase activating polypeptide and migraine,jour.1313388,Annals of Clinical and Translational Neurology
20807,2014,1,pub.1047129953,180,article,15,"Effects of the dual peroxisome proliferator-activated receptor-α/γ agonist aleglitazar on renal function in patients with stage 3 chronic kidney disease and type 2 diabetes: a Phase IIb, randomized study",jour.1024626,BMC Nephrology
20839,2014,12,pub.1061829379,6697-6715,article,13,Queuing models with applications to mode selection in device-to-device communications underlaying cellular networks,jour.1033592,IEEE Transactions on Wireless Communications
20967,2014,8,pub.1012179482,1092-1100,article,24,Pseudo-haptics for rigid tool/soft surface interaction feedback in virtual environments,jour.1044611,Mechatronics
20985,2014,12,pub.1031668044,2224-2228,article,111,The impact of low-grade toxicity in older people with cancer undergoing chemotherapy,jour.1017082,British Journal of Cancer
20996,2014,6,pub.1028906875,121,article,5,Preconditioning of mesenchymal stem cells for improved transplantation efficacy in recessive dystrophic epidermolysis bullosa,jour.1043222,Stem Cell Research & Therapy
21159,2014,1,pub.1047784326,4593,article,5,Alarmin S100A8/S100A9 as a biomarker for molecular imaging of local inflammatory activity,jour.1043282,Nature Communications
21270,2014,1,pub.1027847551,97,article,16,Analysis of temperature dependence of background phase errors in phase-contrast cardiovascular magnetic resonance,jour.1030439,Critical Reviews in Computed Tomography
21356,2014,1,pub.1014585435,103,article,14,"A rapid, simple questionnaire to assess gastrointestinal symptoms after oral ferrous sulphate supplementation",jour.1024942,BMC Gastroenterology
21397,2014,6,pub.1035914238,1018-1029,article,20,The Melanocortin-4 Receptor Is Expressed in Enteroendocrine L Cells and Regulates the Release of Peptide YY and Glucagon-like Peptide 1 In Vivo,jour.1034535,Cell Metabolism
21504,2014,21,pub.1034239060,5847-5857,article,23,Novel genetic associations with serum level metabolites identified by phenotype set enrichment analyses,jour.1102504,Human Molecular Genetics
21555,2014,7527,pub.1017423660,431-435,article,515,Ischaemic accumulation of succinate controls reperfusion injury through mitochondrial ROS,jour.1018957,Nature
21584,2014,7526,pub.1041044240,209-215,article,515,"Synaptic, transcriptional and chromatin genes disrupted in autism",jour.1018957,Nature
21591,2014,4,pub.1046635350,789-799,article,159,Human Genetics Shape the Gut Microbiome,jour.1019114,Cell
21598,2014,11,pub.1006357119,1173-1186,article,46,Defining the role of common variation in the genomic and biological architecture of adult human height,jour.1103138,Nature Genetics
21624,2014,6,pub.1036934114,799-807.e2,article,10,Plasma proteins predict conversion to dementia from prodromal disease,jour.1034467,Alzheimer's & Dementia
21628,2014,11,pub.1052112382,1114-1120,article,13,Anti-citrullinated peptides as autoantigens in rheumatoid arthritis—relevance to treatment,jour.1029983,Autoimmunity Reviews
21642,2014,5,pub.1002499395,1508-1518,article,60,Successful anti‐scavenger receptor class B type I (SR‐BI) monoclonal antibody therapy in humanized mice after challenge with HCV variants with in vitro resistance to SR‐BI‐targeting agents,jour.1093917,Hepatology
21646,2014,1,pub.1000158861,46-53,article,62,Crystal structure of deglycosylated human IgG4-Fc,jour.1089606,Molecular Immunology
21657,2014,2,pub.1029512774,114-122,article,144,Intrathecal delivery of protein therapeutics to the brain: A critical reassessment,jour.1089715,Pharmacology & Therapeutics
21754,2014,11,pub.1021980904,1231-1235,article,20,Characterizing motor and non-motor aspects of early-morning off periods in Parkinson's disease: An international multicenter study,jour.1114563,Parkinsonism & Related Disorders
21757,2014,11,pub.1046666935,1100-1107,article,13,"Safety and efficacy of ALD403, an antibody to calcitonin gene-related peptide, for the prevention of frequent episodic migraine: a randomised, double-blind, placebo-controlled, exploratory phase 2 trial",jour.1030586,The Lancet Neurology
21765,2014,5,pub.1009077384,1132-1148,article,44,Expert opinion on the cough hypersensitivity syndrome in respiratory medicine,jour.1097884,European Respiratory Journal
