,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_state,aff_state_code,id,researcher_id,first_name,last_name
159,Dalian,1814087.0,China,CN,grid.30055.33,Dalian University of Technology,,,pub.1107221729,ur.011227463040.00,Anmin,Liu
160,Dalian,1814087.0,China,CN,grid.30055.33,Dalian University of Technology,,,pub.1107221729,ur.016315113573.36,Liguo,Gao
161,Dalian,1814087.0,China,CN,grid.30055.33,Dalian University of Technology,,,pub.1107221729,ur.012746435604.12,Yanqiang,Li
162,Brisbane,2174003.0,Australia,AU,grid.1024.7,Queensland University of Technology,Queensland,AU-QLD,pub.1107221729,ur.01352233011.99,Hongxia,Wang
163,Dalian,1814087.0,China,CN,grid.30055.33,Dalian University of Technology,,,pub.1107221729,ur.01144540527.52,Tingli,Ma
164,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1107221729,ur.01144540527.52,Tingli,Ma
165,Fukuoka,1863967.0,Japan,JP,grid.177174.3,Kyushu University,,,pub.1105714230,ur.01247030061.41,Ryusuke,Sawada
166,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105714230,ur.01063621042.95,Michio,Iwata
167,Toyama,1849876.0,Japan,JP,grid.267346.2,University of Toyama,,,pub.1105714230,ur.013570257371.20,Masahito,Umezaki
168,Toyama,1849876.0,Japan,JP,grid.267346.2,University of Toyama,,,pub.1105714230,,Yoshihiko,Usui
169,Toyama,1849876.0,Japan,JP,grid.267346.2,University of Toyama,,,pub.1105714230,,Toshikazu,Kobayashi
170,Toyama,1849876.0,Japan,JP,grid.267346.2,University of Toyama,,,pub.1105714230,,Takaki,Kubono
171,Toyama,1849876.0,Japan,JP,grid.267346.2,University of Toyama,,,pub.1105714230,ur.01313066653.57,Shusaku,Hayashi
172,Toyama,1849876.0,Japan,JP,grid.267346.2,University of Toyama,,,pub.1105714230,ur.01144253634.27,Makoto,Kadowaki
173,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1105714230,ur.01265330352.37,Yoshihiro,Yamanishi
174,Tokyo,1850147.0,Japan,JP,grid.419082.6,Japan Science and Technology Agency,,,pub.1105714230,ur.01265330352.37,Yoshihiro,Yamanishi
175,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1107436709,ur.014546667435.13,Ryusuke,Fujisawa
176,Tokyo,1850147.0,Japan,JP,grid.266298.1,University of Electro-Communications,,,pub.1107436709,ur.012117272340.59,Motoyasu,Tanaka
177,Tokyo,1850147.0,Japan,JP,grid.412773.4,Tokyo Denki University,,,pub.1107436709,ur.016101305101.37,Taro,Fujikawa
178,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1114531451,,Shohei,Takabatake
179,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1114531451,,Kazutaka,Shimada
180,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1114531451,,Takeshi,Saitoh
181,Kurashiki,1858311.0,Japan,JP,grid.415086.e,Kawasaki Medical School,,,pub.1108055231,ur.01033757654.81,Tadasuke,Naito
182,Kyoto,1857910.0,Japan,JP,grid.258799.8,Kyoto University,,,pub.1108055231,ur.01160624061.77,Jun-ichirou,Yasunaga
183,Kyoto,1857910.0,Japan,JP,grid.258799.8,Kyoto University,,,pub.1108055231,ur.01042612273.03,Yuichi,Mitobe
184,Morohongō,1856560.0,Japan,JP,grid.410802.f,Saitama Medical University,,,pub.1108055231,ur.01042612273.03,Yuichi,Mitobe
185,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1108055231,ur.015411564503.19,Kazumasa,Shirai
186,Kurashiki,1858311.0,Japan,JP,grid.415086.e,Kawasaki Medical School,,,pub.1108055231,ur.0737024211.79,Hiroe,Sejima
187,Kurashiki,1858311.0,Japan,JP,grid.415086.e,Kawasaki Medical School,,,pub.1108055231,ur.01301034201.12,Hiroshi,Ushirogawa
188,Nishihara,,Japan,JP,grid.267625.2,University of the Ryukyus,,,pub.1108055231,ur.016674655304.05,Yuetsu,Tanaka
189,Nagasaki,1856177.0,Japan,JP,grid.411871.a,Nagasaki International University,,,pub.1108055231,ur.016274440374.44,Tatsufumi,Nakamura
190,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1108055231,ur.01042142003.28,Kousuke,Hanada
191,Niigata,1855431.0,Japan,JP,grid.260975.f,Niigata University,,,pub.1108055231,ur.01241124614.07,Masahiro,Fujii
192,Kyoto,1857910.0,Japan,JP,grid.258799.8,Kyoto University,,,pub.1108055231,ur.01264166362.74,Masao,Matsuoka
193,Kumamoto,1858421.0,Japan,JP,grid.274841.c,Kumamoto University,,,pub.1108055231,ur.01264166362.74,Masao,Matsuoka
