id,first_name,total_publications,research_orgs,last_name,current_research_org.id,current_research_org.acronym,name,country,orcid_id,full_name
ur.012175340375.16,Judith,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Kumstel,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Judith Kumstel
ur.016466431343.77,Daniel,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Oberbeckmann,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Daniel Oberbeckmann
ur.011326251140.46,Maximilian,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Schniedenharn,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Maximilian Schniedenharn
ur.015125747217.48,Rolf,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Schafer,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Rolf Schafer
ur.010741001146.27,H,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Schlüter,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,H Schlüter
ur.014324447274.03,F,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Schulze,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,F Schulze
ur.010431434327.28,Kristin,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Wieching,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Kristin Wieching
ur.010343320015.50,J,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Barthel,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,J Barthel
ur.013335446362.26,Oliver,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Klein,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Oliver Klein
ur.014113764735.88,Patrick,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Baer,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Patrick Baer
ur.014033631763.97,H,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Staubach,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,H Staubach
ur.016145270305.72,Peter,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Roth,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Peter Roth
ur.013275651343.56,Robert,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Ritschel,grid.1957.a,RWTH,RWTH Aachen University,Germany,empty,Robert Ritschel
ur.016214351003.74,Otto,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Maerten,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Otto Maerten
ur.011710454043.27,Jan,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Wilkes,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Jan Wilkes
ur.012710242661.24,Jens,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Schüttler,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Jens Schüttler
ur.014244267674.85,Oliver,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Nottrodt,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Oliver Nottrodt
ur.016113205135.08,S,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Gausmann,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,S Gausmann
ur.015315624535.01,A,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Hartung,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,A Hartung
ur.015211034231.08,Hendrik,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Sändker,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Hendrik Sändker
ur.016067306313.66,Michael,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Schlösser,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Michael Schlösser
ur.013702676230.94,Johannes,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Eckstaedt,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Johannes Eckstaedt
ur.01013366444.39,H U,2,"[{'id': 'grid.423889.c', 'name': 'Dillinger Hütte (Germany)', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Schmitz,grid.423889.c,empty,Dillinger Hütte (Germany),Germany,empty,H U Schmitz
ur.01361051104.91,Daniel,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Schnitzler,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Daniel Schnitzler
ur.016217213631.71,Rudolf,2,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Meyer,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Rudolf Meyer
